gene_id,gene_name,PT916-MYO,PT886-LEIO,PT967-MYO,PT886-MYO,PT916-LEIO,PT1063-LEIO,PT1063-MYO,PT848-MYO,PT967-LEIO,PT848-LEIO
ENSG00000203469,ENSG00000203469,0,1,0,1,1,0,3,2,0,2
ENSG00000142655,PEX14,118,189,208,138,147,231,293,211,235,193
ENSG00000243267,RN7SL614P,5,5,2,7,5,5,2,4,4,9
ENSG00000130940,CASZ1,517,895,412,566,874,786,780,406,584,728
ENSG00000272078,ENSG00000272078,57,25,26,60,6,11,36,23,7,13
ENSG00000225158,HSPE1P24,0,0,0,0,0,0,0,0,0,0
ENSG00000175262,C1orf127,4,1,1,2,2,1,2,5,2,1
ENSG00000215785,CFL1P6,0,0,0,0,0,0,0,0,0,0
ENSG00000120948,TARDBP,708,595,802,258,675,604,760,710,617,738
ENSG00000277726,,1,0,0,0,0,0,1,0,1,1
ENSG00000009724,MASP2,0,1,0,1,0,0,1,0,1,1
ENSG00000271895,,42,35,25,18,26,46,37,28,26,40
ENSG00000116649,SRM,263,350,281,196,222,273,332,407,488,430
ENSG00000171824,EXOSC10,666,635,799,569,692,667,886,700,780,682
ENSG00000226849,,7,19,10,20,20,14,20,15,11,27
ENSG00000230337,EXOSC10-AS1,2,1,1,4,0,1,2,2,1,1
ENSG00000198793,MTOR,1110,1221,1420,1122,1258,1005,1409,1514,1229,1264
ENSG00000225602,MTOR-AS1,0,0,1,2,0,0,3,1,2,1
